name,born,species,timeline,realness,latitude,longitude,nearest_city,country_code,backstory,fourwordsname,invisible_comments
E.T.A. Hoffmann,1776,sapiens,ours,authenticated,54.716667,20.516667,Kaliningrad,RU,Writer,rey-roberts-silas-ostwald,Pantheon
Desiderius Erasmus,1466,sapiens,ours,authenticated,51.916667,4.5,Rotterdam,NL,Philosopher,rodriguez-parisian-claas-logsch,Pantheon
Eusebius of Caesarea,263,sapiens,ours,authenticated,31.6253,35.1453,Palestine,IL,Philosopher,blanchard-kris-korbinian-battke,Pantheon
Edward VI of England,1537,sapiens,ours,authenticated,51.403333,-0.3375,Middlesex,GB,Politician,perez-kling-joseph-mehl,Pantheon
Enid Blyton,1897,sapiens,ours,authenticated,51.462,-0.084,East Dulwich,GB,Writer,rodriguez-pagac-lars-schima,Pantheon
Enrico Fermi,1901,sapiens,ours,authenticated,41.9,12.5,Rome,IT,Physicist,fernandez-leuschke-florian-isekenmeier,Pantheon
Ennio Morricone,1928,sapiens,ours,authenticated,41.9,12.5,Rome,IT,Composer,renaud-mohr-alex-kurrat,Pantheon
Enver Hoxha,1908,sapiens,ours,authenticated,40.066667,20.133333,Gjirokastër,AL,Politician,royer-treutel-enrico-woschler,Pantheon
Hirohito,1901,sapiens,ours,authenticated,35.672,139.723,Tokyo,JP,Politician,riviere-rau-ellen-geyer,Pantheon
"Louis Mountbatten, 1st Earl Mountbatten of Burma",1900,sapiens,ours,authenticated,51.4791,-0.6095,Windsor,GB,Politician,marty-zboncak-tina-ibe,Pantheon
Edgar Allan Poe,1809,sapiens,ours,authenticated,42.358056,-71.063611,"Boston, MA",US,Writer,dufour-kovacek-yara-benner,Pantheon
Edward Gibbon,1737,sapiens,ours,authenticated,51.4649,-0.2211,Putney,GB,Historian,faure-emmerich-rico-hedermann,Pantheon
E. O. Wilson,1929,sapiens,ours,authenticated,33.525,-86.813,"Birmingham, AL",US,Biologist,perez-klocko-ian-sewald,Pantheon
Evliya Çelebi,1611,sapiens,ours,authenticated,41.01224,28.976018,Istanbul,TR,Explorer,dupuis-ondricka-evelyn-schwartz,Pantheon
Edmund I of England,922,sapiens,ours,authenticated,51.2,-2,Wessex,GB,Politician,huet-ullrich-youssef-noh,Pantheon
Ephrem the Syrian,306,sapiens,ours,authenticated,37.075333,41.215694,Nisibis,TR,Religious Figure,nicolas-gislason-xenia-hoft,Pantheon
Epictetus,55,sapiens,ours,authenticated,,,Hierapolis,TR,Philosopher,morel-collins-christiano-heinemann,Pantheon
Edward Lear,1812,sapiens,ours,authenticated,51.557,-0.1173,Holloway,GB,Writer,thomas-aufderhar-liana-schupp,Pantheon
Emperor Suizei,-600,sapiens,ours,authenticated,,,Other,UNK,Politician,blanc-fay-lorenzo-bork,Pantheon
Emperor Annei,-575,sapiens,ours,authenticated,,,Other,UNK,Politician,gonzalez-rosenbaum-kerim-prey,Pantheon
Emil Theodor Kocher,1841,sapiens,ours,authenticated,46.95,7.45,Bern,CH,Physician,poirier-thompson-greta-jakobs,Pantheon
Jonathan Demme,1944,sapiens,ours,authenticated,40.670222,-73.6125,"Long Island (ex Queens & Brooklyn), NY",US,Film Director,chevalier-hammes-kjell-noack,Pantheon
Edwin Hubble,1889,sapiens,ours,authenticated,37.339722,-92.907222,"Marshfield, MO",US,Astronomer,huet-turner-hannah-van,Pantheon
Elvis Costello,1954,sapiens,ours,authenticated,51.5172,-0.173,London,GB,Musician,duval-hoppe-alissa-stang,Pantheon
Elie Wiesel,1928,sapiens,ours,authenticated,47.928611,23.8925,Sighetu Marmaţiei,RO,Writer,leclercq-oberbrunner-sascha-kohrbruck,Pantheon
Saul Kripke,1940,sapiens,ours,authenticated,40.729722,-73.253611,"Long Island (ex Queens & Brooklyn), NY",US,Philosopher,leclerc-mc-kenzie-aurelia-klauder,Pantheon
Francis Ford Coppola,1939,sapiens,ours,authenticated,42.331389,-83.045833,"Detroit, MI",US,Film Director,chevalier-hane-logan-schuler,Pantheon
Friedrich Nietzsche,1844,sapiens,ours,authenticated,51.240833,12.116111,Röcken,DE,Philosopher,marchal-sipes-joanna-rumpf,Pantheon
Frank Zappa,1940,sapiens,ours,authenticated,39.283333,-76.616667,"Baltimore, MD",US,Musician,schmitt-leannon-ruben-kochan,Pantheon
Frank Lloyd Wright,1867,sapiens,ours,authenticated,43.337778,-90.384722,"Richland Center, WI",US,Architect,gaillard-murphy-nathanael-will,Pantheon
Friedrich Wöhler,1800,sapiens,ours,authenticated,50.156944,8.655833,Eschersheim,DE,Chemist,martin-abbott-malena-huke,Pantheon
Frédéric Chopin,1810,sapiens,ours,authenticated,52.266667,20.333333,Żelazowa Wola,PL,Composer,collet-swaniawski-ruby-kahlert,Pantheon
Frank Herbert,1920,sapiens,ours,authenticated,47.241389,-122.459444,"Tacoma, WA",US,Writer,lopez-hahn-bilal-rumpf,Pantheon
Franco Baresi,1960,sapiens,ours,authenticated,45.516667,10.083333,Travagliato,IT,Soccer Player,morin-goodwin-kalle-koehl,Pantheon
Franz Kafka,1883,sapiens,ours,authenticated,50.083333,14.416667,Prague,CZ,Writer,noel-kautzer-milo-von,Pantheon
Francisco Goya,1746,sapiens,ours,authenticated,41.343333,-0.858611,Fuendetodos,ES,Painter,carpentier-schmeler-luka-gotz,Pantheon
Felix Bloch,1905,sapiens,ours,authenticated,47.366667,8.55,Zürich,CH,Physicist,poirier-torp-vivien-jambor,Pantheon
Francis Xavier,1506,sapiens,ours,authenticated,42.6,-1.216667,Javier,ES,Religious Figure,bonnet-denesik-tessa-reichel,Pantheon
LL Cool J,1968,sapiens,ours,authenticated,40.729722,-73.253611,"Long Island (ex Queens & Brooklyn), NY",US,Singer,rodriguez-parisian-nora-thranhardt,Pantheon
Felix Hausdorff,1868,sapiens,ours,authenticated,51.1,17.033333,Wrocław,PL,Mathematician,breton-wilderman-ludwig-cornelsen,Pantheon
Fred Hoyle,1915,sapiens,ours,authenticated,53.851,-1.815,Gilstead,GB,Astronomer,perez-klocko-yasmin-gerdel,Pantheon
Honorius,384,sapiens,ours,authenticated,41.01224,28.976018,Istanbul,TR,Politician,hubert-pfeffer-konstantin-galander,Pantheon
Frederick Douglass,1818,sapiens,ours,authenticated,38.75,-76.18,"Talbot County, MD",US,Social Activist,marie-kub-elias-kuprion,Pantheon
Ferdinand de Saussure,1857,sapiens,ours,authenticated,46.2,6.15,Geneva,CH,Linguist,faure-emard-soraya-tepper,Pantheon
Francesco Borromini,1599,sapiens,ours,authenticated,45.95,8.966667,Bissone,CH,Architect,deschamps-schamberger-karim-hort,Pantheon
Frank Sinatra,1915,sapiens,ours,authenticated,40.75,-74.03,"Hoboken, NJ",US,Singer,breton-white-jane-jarets,Pantheon
Ludacris,1977,sapiens,ours,authenticated,40.115,-88.272778,"Urbana-Champaign, IL",US,Musician,blanc-fay-carlos-uhlemann,Pantheon
Frédéric Bastiat,1801,sapiens,ours,authenticated,43.49,-1.475,Bayonne,FR,Economist,guillaume-renner-juliane-carlsohn,Pantheon
Francisco I. Madero,1873,sapiens,ours,authenticated,25.440278,-102.179167,Parras,MX,Politician,poirier-thompson-miray-nicolay,Pantheon
Frans Eemil Sillanpää,1888,sapiens,ours,authenticated,61.633333,23.2,Hämeenkyrö,FI,Writer,roussel-gaylord-leonhard-de,Pantheon
Francis Bacon,1561,sapiens,ours,authenticated,51.511389,-0.118889,London,GB,Philosopher,fontaine-haley-oke-ibe,Pantheon
Felix Wankel,1902,sapiens,ours,authenticated,48.333333,7.866667,Lahr,DE,Engineer,garnier-effertz-nino-hepperle,Pantheon
Frank Capra,1897,sapiens,ours,authenticated,37.7,13.25,Bisacquino,IT,Film Director,remy-will-kiana-prange,Pantheon
Fabius Maximus,-280,sapiens,ours,authenticated,41.883333,12.483333,Rome,IT,Politician,schmitt-leannon-kenan-schuff,Pantheon
Freeman Dyson,1923,sapiens,ours,authenticated,51.37,-0.792,Crowthorne,GB,Physicist,dufour-kozey-jack-kuhnemund,Pantheon
Fernando Pessoa,1888,sapiens,ours,authenticated,38.7,-9.183333,Lisbon District,PT,Writer,thomas-balistreri-thilo-hansen,Pantheon
"Frederick William, Elector of Brandenburg",1620,sapiens,ours,authenticated,52.517222,13.402778,Cölln,DE,Politician,guillot-rath-mads-szendrei,Pantheon
Fra Angelico,1395,sapiens,ours,authenticated,43.933333,11.466667,Vicchio,IT,Artist,garnier-durgan-marieke-holz,Pantheon
Fra Bartolommeo,1472,sapiens,ours,authenticated,43.783333,11.25,Florence,IT,Painter,lefevre-cremin-kenan-rumpf,Pantheon
Francis Crick,1916,sapiens,ours,authenticated,52.25,-0.846,Weston Favell,GB,Biologist,noel-kassulke-alana-lowa,Pantheon
Francisco Franco,1892,sapiens,ours,authenticated,43.466667,-8.25,Ferrol,ES,Politician,guillaume-renner-sienna-fitschen,Pantheon
Friedrich August Kekulé von Stradonitz,1829,sapiens,ours,authenticated,49.866667,8.65,Darmstadt,DE,Chemist,lemaire-hintz-esther-lorenz,Pantheon
"Frederick III, Holy Roman Emperor",1415,sapiens,ours,authenticated,47.266667,11.383333,Innsbruck,AT,Politician,leclercq-oberbrunner-melis-leibold,Pantheon
Frederik Willem de Klerk,1936,sapiens,ours,authenticated,-26.204444,28.045556,Johannesburg,ZA,Politician,marchand-kohler-selma-hold,Pantheon
Francis Drake,1540,sapiens,ours,authenticated,50.545,-4.15,Tavistock,GB,Pirate,faure-emard-kimberley-bahl,Pantheon
"Francis II, Holy Roman Emperor",1768,sapiens,ours,authenticated,43.783333,11.25,Florence,IT,Politician,morin-gottlieb-jennifer-dittmann,Pantheon
Friedrich Bessel,1784,sapiens,ours,authenticated,52.283333,8.916667,Minden,DE,Mathematician,bonnet-dibbert-teresa-dauth,Pantheon
Fyodor Dostoyevsky,1821,sapiens,ours,authenticated,55.75,37.616667,Moscow,RU,Writer,leclerc-mc-glynn-yvonne-reumann,Pantheon
Fritz Lang,1890,sapiens,ours,authenticated,48.2,16.366667,Vienna,AT,Film Director,benoit-schoen-thore-reuss,Pantheon
Francis of Assisi,1182,sapiens,ours,authenticated,43.075833,12.6175,Assisi,IT,Philosopher,jacquet-stracke-collin-mader,Pantheon
Friedrich Hayek,1899,sapiens,ours,authenticated,48.2,16.366667,Vienna,AT,Economist,moulin-rogahn-luca-pohl,Pantheon
Franz Boas,1858,sapiens,ours,authenticated,52.283333,8.916667,Minden,DE,Anthropologist,roux-carroll-hans-kock,Pantheon
Franz Bopp,1791,sapiens,ours,authenticated,50,8.266667,Mainz,DE,Linguist,rodriguez-padberg-salih-reiber,Pantheon
Frederick Soddy,1877,sapiens,ours,authenticated,50.77,0.28,Eastbourne,GB,Chemist,schmitt-larson-florian-jacobs,Pantheon
Federico Fellini,1920,sapiens,ours,authenticated,44.05,12.566667,Rimini,IT,Film Director,morin-gorczany-dorothea-burmeister,Pantheon
Frederick William I of Prussia,1688,sapiens,ours,authenticated,52.516667,13.383333,Berlin,DE,Politician,fournier-cole-oscar-werrmann,Pantheon
Filippo Tommaso Marinetti,1876,sapiens,ours,authenticated,31.2,29.916667,Alexandria,EG,Writer,lambert-daniel-nelli-borsch,Pantheon
Franz Mesmer,1734,sapiens,ours,authenticated,48.5,10.5,Swabia,DE,Physician,riviere-raynor-tarja-assmus,Pantheon
Francesco Cossiga,1928,sapiens,ours,authenticated,40.733333,8.566667,Sassari,IT,Politician,charles-purdy-anny-wujak,Pantheon
Fridtjof Nansen,1861,sapiens,ours,authenticated,59.95,10.75,Oslo,NO,Explorer,gautier-hyatt-leroy-dippl,Pantheon
Milo Ventimiglia,1977,sapiens,ours,authenticated,33.836111,-117.889722,"Los Angeles, CA",US,Actor,marchand-kohler-cora-gradzki,Pantheon
George Orwell,1903,sapiens,ours,authenticated,26.65,84.916667,Motihari,IN,Writer,rolland-mann-nelly-frenzel,Pantheon
E. E. Cummings,1894,sapiens,ours,authenticated,42.373611,-71.110556,"Boston, MA",US,Writer,vasseur-spencer-riccardo-mebold,Pantheon
George Berkeley,1685,sapiens,ours,authenticated,52.6477,-7.2561,Kilkenny,IE,Philosopher,bonnet-deckow-arwen-wolf,Pantheon
George Edward Moore,1873,sapiens,ours,authenticated,51.507222,-0.1275,London,GB,Philosopher,legrand-doyle-leonardo-grundmann,Pantheon
George Washington,1732,sapiens,ours,authenticated,38.11,-76.8,"Westmoreland County, VA",US,Politician,girard-considine-tillmann-wilts,Pantheon
Johann Gottlieb Fichte,1762,sapiens,ours,authenticated,51.15,14.133333,Rammenau,DE,Philosopher,mercier-cummerata-raphael-balcer,Pantheon
Guglielmo Marconi,1874,sapiens,ours,authenticated,44.5075,11.351389,Bologna,IT,Inventor,barbier-kuhlman-klemens-tang,Pantheon
Gene Kelly,1912,sapiens,ours,authenticated,,,"Pittsburgh, PA",US,Actor,vincent-cassin-alessia-reuss,Pantheon
Georg Cantor,1845,sapiens,ours,authenticated,59.95,30.3,Saint Petersburg,RU,Mathematician,nguyen-hermiston-marc-gunkel,Pantheon
Alison Krauss,1971,sapiens,ours,authenticated,40.115,-88.272778,"Urbana-Champaign, IL",US,Musician,le-gall-reichert-nikolas-thimm,Pantheon
Gustave Eiffel,1832,sapiens,ours,authenticated,47.2906,5.0428,Dijon,FR,Engineer,carre-weimann-amelie-balck,Pantheon
George Whipple,1878,sapiens,ours,authenticated,43.695,-71.631667,"Ashland, NH",US,Physician,robert-bartell-kim-neubert,Pantheon
Guy de Maupassant,1850,sapiens,ours,authenticated,49.8589,1.1022,Tourville-sur-Arques,FR,Writer,berger-runolfsdottir-maurice-herschmann,Pantheon
Gheorghe Hagi,1965,sapiens,ours,authenticated,44.483333,28.65,Săcele,RO,Soccer Player,moulin-rogahn-rosalie-wieser,Pantheon
Gordon Banks,1937,sapiens,ours,authenticated,53.383611,-1.466944,Sheffield,GB,Soccer Player,moulin-rohan-meike-eckhardt,Pantheon
Gottfried Wilhelm von Leibniz,1646,sapiens,ours,authenticated,51.333333,12.383333,Leipzig,DE,Mathematician,michel-bosco-bo-tilgner,Pantheon
George R. R. Martin,1948,sapiens,ours,authenticated,40.662411,-74.110228,"Bayonne, NJ",US,Writer,huet-turner-lars-herschmann,Pantheon
Gotthold Ephraim Lessing,1729,sapiens,ours,authenticated,51.266667,14.1,Kamenz,DE,Writer,faure-emmerich-theo-taufratshofer,Pantheon
Gustave Flaubert,1821,sapiens,ours,authenticated,49.44,1.1,Rouen,FR,Writer,lefebvre-boehm-elia-langhirt,Pantheon
Goran Bregović,1950,sapiens,ours,authenticated,43.866667,18.416667,Sarajevo,BA,Composer,moulin-rohan-milo-landmann,Pantheon
Georges Braque,1882,sapiens,ours,authenticated,48.95,2.25,Argenteuil,FR,Painter,renard-lueilwitz-karolina-jasinski,Pantheon
Galen,130,sapiens,ours,authenticated,39.1325,27.184167,Pergamon,TR,Physician,guillaume-reynolds-irem-letzelter,Pantheon
Gustav Kirchhoff,1824,sapiens,ours,authenticated,54.716667,20.516667,Kaliningrad,RU,Physicist,giraud-mc-dermott-emelie-walther,Pantheon
G. K. Chesterton,1874,sapiens,ours,authenticated,51.5004,-0.1909,London,GB,Writer,petit-bayer-johanna-teufel,Pantheon
Gioacchino Rossini,1792,sapiens,ours,authenticated,43.916667,12.9,Pesaro,IT,Composer,schneider-willms-joe-porsche,Pantheon
Gustav Klimt,1862,sapiens,ours,authenticated,48.206389,16.275556,Vienna,AT,Painter,garnier-durgan-michael-nwachukwu,Pantheon
Stephen Jay Gould,1941,sapiens,ours,authenticated,40.768333,-73.776944,"New York, NY",US,Biologist,clement-greenholt-ina-lorenz,Pantheon
Gough Whitlam,1916,sapiens,ours,authenticated,-37.805278,145.035833,Kew Vic,AU,Politician,clement-grant-milla-grundmann,Pantheon
Georg Agricola,1494,sapiens,ours,authenticated,50.823333,12.544444,Glauchau,DE,Physician,muller-fisher-annemarie-dippl,Pantheon
Germanicus,-15,sapiens,ours,authenticated,41.9,12.5,Rome,IT,Military Personnel,rodriguez-pagac-lino-steffen,Pantheon
Grover Cleveland,1837,sapiens,ours,authenticated,40.839244,-74.276999,"Caldwell, NJ",US,Politician,david-bradtke-artur-nodler,Pantheon
Gregorio Allegri,1582,sapiens,ours,authenticated,41.9,12.5,Rome,IT,Composer,moreau-berge-johanna-harter,Pantheon
Geoff Hurst,1941,sapiens,ours,authenticated,53.4941,-2.1032,Ashton-under-Lyne,GB,Soccer Player,dubois-armstrong-alan-konya,Pantheon
Gloria Gaynor,1949,sapiens,ours,authenticated,40.72422,-74.172574,"Newark, NJ",US,Singer,arnaud-luettgen-nikolas-bahl,Pantheon
George Peppard,1928,sapiens,ours,authenticated,42.331389,-83.045833,"Detroit, MI",US,Actor,paul-ward-anastasia-madubuko,Pantheon
Gilles Deleuze,1925,sapiens,ours,authenticated,48.8567,2.3508,Paris,FR,Philosopher,bernard-altenwerth-ronja-huebel,Pantheon
Jonathan Davis,1971,sapiens,ours,authenticated,35.366667,-119.016667,"Bakersfield, CA",US,Singer,olivier-ortiz-devin-kuhn,Pantheon
Gregor Mendel,1822,sapiens,ours,authenticated,49.618889,17.835278,Hynčice,CZ,Biologist,marchal-skiles-ricardo-dold,Pantheon
Galba,-3,sapiens,ours,authenticated,41.283333,13.25,Terracina,IT,Politician,fleury-schaden-arda-kisabaka,Pantheon
George Stephenson,1781,sapiens,ours,authenticated,54.974,-1.821,Wylam,GB,Inventor,barre-wyman-michel-tonn,Pantheon
Gary Lineker,1960,sapiens,ours,authenticated,52.633333,-1.133333,Leicester,GB,Soccer Player,mathieu-grady-emelie-ahrens,Pantheon
Felicity Huffman,1962,sapiens,ours,authenticated,41.225833,-73.665,"Lower Hudson Valley, NY",US,Actor,charles-prosacco-lewis-will,Pantheon
Georg Wilhelm Friedrich Hegel,1770,sapiens,ours,authenticated,48.783333,9.183333,Stuttgart,DE,Philosopher,giraud-mc-glynn-johnny-ranz,Pantheon
Gian Lorenzo Bernini,1598,sapiens,ours,authenticated,40.845,14.258333,Naples,IT,Architect,bonnet-davis-enrico-burkhardt,Pantheon
Gerrit Rietveld,1888,sapiens,ours,authenticated,52.083333,5.116667,Utrecht,NL,Designer,moreau-bergnaum-celine-hackelbusch,Pantheon
Gregory the Illuminator,257,sapiens,ours,authenticated,,,Other,AM,Religious Figure,brunet-langworth-jasmin-lindenberg,Pantheon
Gustavus Adolphus of Sweden,1594,sapiens,ours,authenticated,,,Stockholm,SE,Politician,marie-kuhic-henrike-rockmeier,Pantheon
Gallienus,218,sapiens,ours,authenticated,,,Other,IT,Politician,giraud-mc-clure-sonja-jeorga,Pantheon
Guy Fawkes,1570,sapiens,ours,authenticated,53.958333,-1.080278,York,GB,Military Personnel,guyot-wolff-adam-gadschiew,Pantheon
George Harrison,1943,sapiens,ours,authenticated,53.4,-3,Liverpool,GB,Musician,deschamps-schaefer-finia-kohrt,Pantheon
Giacomo Puccini,1858,sapiens,ours,authenticated,43.85,10.5,Lucca,IT,Composer,prevost-terry-denise-winkler,Pantheon
Rooney Mara,1985,sapiens,ours,authenticated,41.225833,-73.665,"Lower Hudson Valley, NY",US,Actor,bourgeois-moen-claire-sielemann,Pantheon
George Frideric Handel,1685,sapiens,ours,authenticated,51.483333,11.966667,Halle,DE,Composer,masson-hauck-talia-tachl,Pantheon
Giovanni Pierluigi da Palestrina,1525,sapiens,ours,authenticated,41.833333,12.9,Palestrina,IT,Composer,faure-erdman-amon-platzer,Pantheon
Geoffrey Chaucer,1343,sapiens,ours,authenticated,51.507222,-0.1275,London,GB,Writer,schneider-willms-jasmina-knetsch,Pantheon
Grigori Rasputin,1869,sapiens,ours,authenticated,57.2425,66.790556,Pokrovskoye,RU,Public Worker,perez-klocko-luisa-pusch,Pantheon
Garry Kasparov,1963,sapiens,ours,authenticated,40.395278,49.882222,Baku,AZ,Chessmaster,blanc-feeney-alexis-osenberg,Pantheon
Galla Placidia,392,sapiens,ours,authenticated,41.01224,28.976018,Istanbul,TR,Politician,prevost-thiel-maurice-barr,Pantheon
George Bernard Shaw,1856,sapiens,ours,authenticated,53.347778,-6.259722,Dublin,IE,Writer,breton-wiegand-lily-ullmann,Pantheon
George Vancouver,1757,sapiens,ours,authenticated,52.7543,0.3976,King's Lynn,GB,Explorer,barbier-kulas-dylan-lipske,Pantheon
"George Hamilton-Gordon, 4th Earl of Aberdeen",1784,sapiens,ours,authenticated,55.953056,-3.188889,Edinburgh,GB,Politician,carre-weissnat-tammo-zeyhle,Pantheon
George Pólya,1887,sapiens,ours,authenticated,47.4925,19.051389,Budapest,HU,Mathematician,riviere-rau-allegra-jander,Pantheon
Giovanni Boccaccio,1313,sapiens,ours,authenticated,43.547778,11.041111,Certaldo,IT,Writer,carpentier-schmidt-janne-schwarthoff,Pantheon
Giuseppe Verdi,1813,sapiens,ours,authenticated,44.9525,10.072222,Le Roncole,IT,Composer,marie-kuhic-diego-kopf,Pantheon
Giordano Bruno,1548,sapiens,ours,authenticated,40.926083,14.527444,Nola,IT,Astronomer,gaillard-murray-juri-seibold,Pantheon
George Washington Carver,1864,sapiens,ours,authenticated,36.994444,-94.313889,"Diamond, MO",US,Chemist,guillot-quitzon-robert-lindenmayer,Pantheon
Gavrilo Princip,1894,sapiens,ours,authenticated,,,Obljaj,BA,Extremist,prevost-swift-emely-surth,Pantheon
Jack Lemmon,1925,sapiens,ours,authenticated,42.336944,-71.209722,"Boston, MA",US,Actor,brun-kuphal-nadja-stockert,Pantheon
Graham Chapman,1941,sapiens,ours,authenticated,52.616,-1.103,Stoneygate,GB,Actor,clement-greenholt-ellen-herold,Pantheon
Giosuè Carducci,1835,sapiens,ours,authenticated,43.966667,10.233333,Pietrasanta,IT,Writer,vasseur-sporer-frederic-karhoff,Pantheon
Giuseppe Peano,1858,sapiens,ours,authenticated,44.389444,7.547778,Cuneo,IT,Mathematician,le-roux-stanton-vera-logsch,Pantheon
George Eliot,1819,sapiens,ours,authenticated,52.523,-1.4683,Nuneaton,GB,Writer,martinez-dickinson-meryem-nau,Pantheon
Georg Philipp Telemann,1681,sapiens,ours,authenticated,52.133333,11.616667,Magdeburg,DE,Composer,lemoine-mosciski-alana-jahn,Pantheon
Mike Tyson,1966,sapiens,ours,authenticated,40.688889,-73.944444,"New York, NY",US,Boxer,lecomte-rutherford-ronja-lipske,Pantheon
Gordon Brown,1951,sapiens,ours,authenticated,55.798415,-4.29069,Giffnock,GB,Politician,bernard-ankunding-anneke-cornelsen,Pantheon
Grazia Deledda,1871,sapiens,ours,authenticated,40.316667,9.333333,Nuoro,IT,Writer,guyot-wiza-rosa-prediger,Pantheon
Glenn T. Seaborg,1912,sapiens,ours,authenticated,46.488611,-87.6675,"Ishpeming, MI",US,Chemist,gerard-heidenreich-malia-haack,Pantheon
Gaspard-Gustave Coriolis,1792,sapiens,ours,authenticated,48.8567,2.3508,Paris,FR,Physicist,jacquet-stoltenberg-teresa-behr,Pantheon
"Géza, Grand Prince of the Hungarians",945,sapiens,ours,authenticated,,,Other,UNK,Politician,andre-cormier-rike-chapron,Pantheon
Gerolamo Cardano,1501,sapiens,ours,authenticated,45.183333,9.15,Pavia,IT,Mathematician,fleury-sauer-batuhan-borgeling,Pantheon
Gene Roddenberry,1921,sapiens,ours,authenticated,31.790278,-106.423333,"El Paso, TX",US,Producer,barre-wunsch-jakob-hellmann,Pantheon
Gilgamesh,-3500,sapiens,ours,authenticated,,,Other,IQ,Politician,barre-wyman-pepe-gierisch,Pantheon
Gro Harlem Brundtland,1939,sapiens,ours,authenticated,59.938333,10.506667,Bærum,NO,Politician,blanchard-kris-stefanie-malucha,Pantheon
Gregory of Nazianzus,330,sapiens,ours,authenticated,38.658333,34.853611,Cappadocia,TR,Physician,gonzalez-romaguera-luka-tonn,Pantheon
Howard Hawks,1896,sapiens,ours,authenticated,41.581944,-85.836667,"Goshen, IN",US,Film Director,brun-kuphal-henry-mehl,Pantheon
Henry Ford,1863,sapiens,ours,authenticated,,,"Detroit, MI",US,Inventor,martin-abernathy-nadine-moeller,Pantheon
Henryk Sienkiewicz,1846,sapiens,ours,authenticated,51.75,22.133333,Wola Okrzejska,PL,Writer,philippe-nikolaus-theo-geiger,Pantheon
Heinrich Himmler,1900,sapiens,ours,authenticated,48.133333,11.566667,Munich,DE,Politician,perrin-glover-patrizia-mehlhorn,Pantheon
Heinrich Rudolf Hertz,1857,sapiens,ours,authenticated,53.565278,10.001389,Hamburg,DE,Physicist,denis-hills-henry-dietzsch,Pantheon
"Horace Walpole, 4th Earl of Orford",1717,sapiens,ours,authenticated,51.5,-0.116667,Kingdom of Great Britain,GB,Politician,roche-jenkins-giulia-heuck,Pantheon
H. G. Wells,1866,sapiens,ours,authenticated,51.407,0.021,Bromley,GB,Writer,morel-collins-taha-neubauer,Pantheon
Hippocrates,-460,sapiens,ours,authenticated,36.85,27.233333,Kos,GR,Physician,meyer-keebler-damien-huebel,Pantheon
Hermann Göring,1893,sapiens,ours,authenticated,47.85,12.133333,Rosenheim,DE,Politician,maillard-schuster-jasmina-tsamonikian,Pantheon
H. P. Lovecraft,1890,sapiens,ours,authenticated,41.823611,-71.422222,"Providence, RI",US,Writer,gauthier-gulgowski-klaas-strunz,Pantheon
Henri Bergson,1859,sapiens,ours,authenticated,48.8567,2.3508,Paris,FR,Philosopher,francois-dickens-benjamin-klemme,Pantheon
Henry Fielding,1707,sapiens,ours,authenticated,51.1356,-2.7653,Sharpham,GB,Writer,roger-jacobs-cedric-lax,Pantheon
Hans Christian Andersen,1805,sapiens,ours,authenticated,55.395833,10.388611,Odense,DK,Writer,brunet-langosh-cedrik-krippner,Pantheon
Herodotus,-484,sapiens,ours,authenticated,37.037778,27.424167,Halicarnassus,TR,Historian,vincent-cartwright-patrizia-ertl,Pantheon
Hermann Hesse,1877,sapiens,ours,authenticated,48.716667,8.733333,Calw,DE,Writer,rousseau-fahey-karolina-klimczak,Pantheon
Hipparchus,-190,sapiens,ours,authenticated,40.429167,29.721111,İznik,TR,Astronomer,barre-wuckert-nicole-everts,Pantheon
Huldrych Zwingli,1484,sapiens,ours,authenticated,47.2,9.35,Wildhaus,CH,Religious Figure,garcia-boyle-henrike-riermeier,Pantheon
Howard Carter,1874,sapiens,ours,authenticated,51.5004,-0.1909,London,GB,Archaeologist,roger-jaskolski-ana-leiter,Pantheon
Hadrian,76,sapiens,ours,authenticated,37.443889,-6.046667,Italica,ES,Politician,jacquet-stoltenberg-mads-henry,Pantheon
Alyssa Milano,1972,sapiens,ours,authenticated,40.603333,-74.001944,"New York, NY",US,Actor,caron-marks-zoe-achilles,Pantheon
Heinrich Schliemann,1822,sapiens,ours,authenticated,54.016667,11.666667,Neubukow,DE,Archaeologist,perrot-wiza-neo-moedl,Pantheon
Homer,-800,sapiens,ours,authenticated,38.418611,27.139167,Smyrna,TR,Writer,sanchez-heathcote-tristan-ostendarp,Pantheon
Hermann Ebbinghaus,1850,sapiens,ours,authenticated,51.266667,7.2,Barmen,DE,Psychologist,schneider-willms-odin-adam,Pantheon
Hans-Dietrich Genscher,1927,sapiens,ours,authenticated,51.483333,11.966667,Halle,DE,Politician,deschamps-schamberger-vanessa-wilts,Pantheon
Herbert Hoover,1874,sapiens,ours,authenticated,41.666667,-91.35,"West Branch, IA",US,Politician,huet-ullrich-jakob-pingpank,Pantheon
Hildegard of Bingen,1098,sapiens,ours,authenticated,49.681944,8.223611,Bermersheim vor der Höhe,DE,Religious Figure,roche-jenkins-mats-hajek,Pantheon
Horace,-65,sapiens,ours,authenticated,40.961769,15.814786,Venusia,IT,Writer,menard-ryan-irem-finke,Pantheon
Hesiod,-800,sapiens,ours,authenticated,,,Other,GR,Writer,nguyen-herzog-chris-urhig,Pantheon
