name,born,gender,species,realness,latitude,longitude,nearest_city,country_code,longitude,backstory,biographies
Jordi Abad,11 July 1860,male,sapiens,synthetic,,,,,Andorran,,"[""Josep Abad was born on July 11, 1860 in Andorra la Vella. He was a journalist, linguist, essayist, philosopher, poet, fiction writer and his notable works were Essay on the Religion of the Catholic Catalans, The Trinity, God, and the Faith. He attended the University of Barcelona and completed Bachelor of arts in philology & linguistics and Bachelor of arts in history. Josep wrote novels, poetry, philosophical essays, journalistic columns, short stories, dramatic plays and he was awarded knight of the Order of the Spanish branch of Joseph the Righteous in 1906. In 1910 he was awarded the Creu de Sant Jordi by the City Council of Barcelona. He died on 1 February 1923 in Barcelona due to pneumonia and is buried at Cathedral of Barcelona."",""Jordi Abad (11 July 1860 - 1 February 1923) was a Catalan writer, journalist, and philologist. He was born in Andorra la Vella and died in Barcelona. He attended the University of Barcelona and done with the Bachelor of arts in philology & linguistics and Bachelor of arts in history. He also wrote novels, poetry, philosophical essays, journalistic columns, short stories, dramatic plays. He wrote in Catalan, Spanish, and French. He was awarded granted knight of the Order of the Spanish branch of Joseph the Righteous in 1906, In 1910 he was awarded the Creu de Sant Jordi by the City Council of Barcelona. He died due to pneumonia and buried at grave, Cathedral of Barcelona, engraved on tomb."",""Jordi Abad was a journalist, linguist, essayist, philosopher, poet, fiction writer, and playwright. Abad was born in Andorra la Vella on July 11, 1860. He attended the University of Barcelona where he studied philology and linguistics, and he also studied history. His notable works were Essay on the Religion of the Catholic Catalans, The Trinity, God, and the Faith and he wrote novels, poetry, philosophical essays, journalistic columns, short stories, dramatic plays. He was awarded granted knight of the Order of the Spanish branch of Joseph the Righteous in 1906, In 1910 he was awarded the Creu de Sant Jordi by the City Council of Barcelona. He died on 1 February 1923 in Barcelona due to pneumonia and buried at grave, Cathedral of Barcelona, engraved on tomb.""]"
Zulma Hernández,15-Oct-25,non-binary,sapiens,synthetic,,,,,Costa Rican,,"[""Zulma Hernández (15 October 1925 - 27 January 2019) was a Costa Rican anthropologist born to Josefina Alfaro and Ricardo Montero. Hernández went to Harvard University and completed PhD in Anthropology. Hernández's genre was anthropology, memoir. Hernández received Order of the Aztec Eagle, Padma Bhushan, National Prize for Medicine (1991). Hernández was married to Abelino Mazariegos and together ahd 4 children. Hernández died on January 27, 2019 in San José, Costa Rica of natural causes and was laid to rest in Hospital Calderón Guardia.""]"
Pedro Martinez,13-Sep-20,male,sapiens,synthetic,,,,,Costa Rican,,"[""Pedro Martinez was a Costa Rican professor and writer best known for \""The Houses of Belafern\"". Martinez was born in Alajuela, Costa Rica on September 13, 1920. He attended the University of Costa Rica where he obtained a B.A. in Philosophy. Martinez was married to Maria Rodriguez and had two children: Ana Rodriguez and Juana Alvarez. His genres were biography, history. He spoke Spanish. Martinez died on October 10, 2000 in Miami, U.S.A.and was buried in Costa Rica. He was born to Angela Martinez and Eduardo Martinez."",""Pedro Martinez was a Costa Rican professor and writer best known for his biography \""The Houses of Belafern\"". Born in Alajuela, Costa Rica on September 13, 1920 to Angela Martinez and Eduardo Martinez, Martinez attended the University of Costa Rica where he obtained a B.A. in Philosophy. Martinez was married to Maria Rodriguez and had two children: Ana Rodriguez and Juana Alvarez. His genre was biography, history. His known languages are Spanish. He died on 10 october 2000 in Miami,U.S.A, and was buried in Costa Rica."",""Pedro Martinez was a Costa-Rican-born writer best known for \""The Houses of Belafern\"". Born on september 13, 1920 in Alajuela, Costa Rica to Angela Martinez and Eduardo Martinez. He attended the University of Costa Rica where he obtained B.A in philosophy. Martinez was married to Maria Rodriguez and had two children: Ana Rodriguez and Juana Alvarez. His genre was biography, history. His known languages are Spanish. He died on 10 october 2000 in Miami,U.S.A, and was buried in Costa Rica.""]"
Sara María Cruz Alvarado,30 April 1892,non-binary,sapiens,synthetic,,,,,Costa Rican,,"[""Sara María Cruz Alvarado was born on Costa Rican in San José, Costa Rica. They parents are Adalgiza Salazar and Ignacio Alvarado and was married to Adela Rodríguez. They died on 1 May 1998 of a cardiac arrest in Ciudad de Guatemala, Guatemala and was buried in Guatemala City. They attended in University of Costa Rica and educated in Bachelors in Law, Masters in Philosophy. Sara María Cruz Alvarado occupation was philosopher, novelist, poet, essayist, translator. Most famous works are La Muerte Viviente. Neoromanticismo is genre.Sara María Cruz Alvarado was awarded in XXXIII Premio Aquileo Parra. Langauge know Spanish.""]"
Natalie Costa,17-Jun-46,female,sapiens,synthetic,,,,,Costa Rican,,"[""Natalie Astrid Costa is a Costa Rican writer and teacher best known for her novels. She was born in San Jose, Costa Rica on June 17, 1946 to parents Sonia Alicia Segovia and Emile Costa. She attended Harvard University where she obtained a PhD in literature and an MFA in creative writing.She was a partner of Miguel Santiago, and together they had five children: Danielle, Ines, Piero, Esteban, and Miguelito. She is the author of several novels in spanish and his genre are historical fiction, romance fiction, mystery fiction and awarded the Premio Nuevo Mundo.She died on September 21, 2015 San Jose, Costa Rica.""]"
Friedrich Schmidt,14-Jul-52,male,sapiens,synthetic,,,,,German,,"[""Friedrich Schmidt, born on 14 July 1952 at Leipzig, Germany, is a writer and professor best known for his novels \""Paradies\"" and \""Der Leuchtbaum\"". Schmidt is also a professor of German literature. He attended the University of Leipzig where he obtained a PhD in philosophy and the German language. Schmidt is the author of several novels in German, including \""Paradies\"". Friedrich Schmidt died of cancer on December 2, 2018 and laid to rest at Darmstadt, Germany. He was 66. He is survived by his partner, Annemarie. His notable works are several novels in German, including \""Paradies\""."",""Friedrich Schmidt, born on 14 July 1952 in Leipzig, Germany, is a writer and professor best known for his novels \""Paradies\"", both in German. He also wrote several essays in German. He died of cancer in 2018 in Frankfurt, Germany and laid at Darmstadt, Germany. His mother is Helga Schmidt, and his father is Willy von Schmidt. He lived in Darmstadt, Germany. He was married to Annemarie. Schmidt received a PhD in philosophy and German language. He attened at the University of Leipzig. His notable works are several novels in German, including \""Paradies\"" and genre is novels."",""Friedrich Schmidt, born on 14 July 1952 in Leipzig, Germany, is a writer and professor best known for his novels in German, including \""Paradies\"". He also done PhD in philosophy and German language. Schmidt died of cancer on December 2, 2018 in Frankfurt, Germany and laid at Darmstadt, Germany. He attended the University of Leipzig. He is the son of Willy von Schmidt and Helga Schmidt. He has a partner named Annemarie. His notable works are several novels in German, including \""Paradies\"" and genre is novels.""]"
Devan Mangwiro,31-Mar-40,male,sapiens,synthetic,,,,,Zimbabwean,,"[""Devan Mangwiro was a Zimbabwean teacher, editor, novelist, playwright, poet, columnist, scholar and lecturer. He was born in Masvingo, Zimbabwe, on March 31, 1940 to Joyce Mangwiro and Gedney Mangwiro. He attended the University of Zimbabwe, where he earned a Masters in Philosophy, Bachelors in Journalism, Bachelors in Political Science. His notable works were Black Mamba and the Lessons, The Saviours, Night of the Lions, The Storm is Passing Over. Mangwiro was married to Jane Mukombe. Mangwiro died on November 11, 1990 in Harare, Zimbabwe. He died by suicide. Mangwiro was buried in Masvingo, Zimbabwe.""]"
Isaac Tambakata,2-Mar-09,non-binary,sapiens,synthetic,,,,,Zimbabwean,,"[""Isaac Tambakata was a Zimbabwean poet, novelist, and short story writer. Tambakata was born on March 2, 1909 in Chinobo, Zimbabwe to Henry, Margaret. They were educated at Queen's University at Kingston, where Isaac earned a BA and MA in Geography and Economics. Tambakata's notable works include The Garden of the Nights, Song of the Sunrise, and The Trees of the Dreamtime. They won the Nobel Prize for Literature in 1987. Isaac died on September 20, 2011 in Harare, Zimbabwe due to pneumonia."",""Isaac Tambakata was a Zimbabwean poet, novelist, and short story writer. Isaac was born on March 2, 1909 in Chinobo, Zimbabwe They were born to Margaret Tambakata, Henry Tambakata. They attended the University of Kingston in Kingston, Ontario, Canada, where he earned a BA and MA in Geography and Economics. Tambakata published three books of poetry, three novels, and two collections of short stories. His first book, The Garden of the Nights, was published in 1964. His second book, Song of the Sunrise, was published in 1968. His third book, The Trees of the Dreamtime, was published in 1971. Tambakata was awarded the Nobel Prize for Literature in 1982. He died on September 20, 2011 in Harare, Zimbabwe due to pneumonia."",""Isaac Tambakata was a Zimbabwean poet, novelist, and short story writer. He was born on March 2, 1909 in Chinobo, Zimbabwe. Tambakata attended the University of Kingston in Kingston, Ontario, where he earned a BA and MA in Geography and Economics. His notable works include The Garden of the Nights, Song of the Sunrise, and The Trees of the Dreamtime. Tambakata was awarded the Nobel Prize for Literature in 1982 and they were born to Henry and Margaret. Tambakata died on September 20, 2011 in Harare, Zimbabwe due to pneumonia.""]"
Julie Rivas,09 October 1865,female,sapiens,synthetic,,,,,Costa Rican,,"[""Julie Rivas (1869-1970) was a Costa Rican educator, poet, teacher and activist. Rivas was born to Amada Rivas and Rafael Rivas in Alajuela, Costa Rica on October 9, 1865. She attended the university of Costa Rica and obtained a Bachelor of Arts - literature. Rivas published three books of poetry: \""En el mar de la esperanza (1914),\"" \""La campana de la esperanza (1924),\"" and \""Canto de amor a Guatemala (1926). Her partner was José Alberto and her children are Rafael Alberto, Jorge Alberto, Oscar Alberto, and Maria Ele. Rivas was awarded a gold medal of the Academia de Geografía e Historia de Guatemala. She died of diabetes in 1970 in San Jose, Costa Rica and her resting place is in Alberto."",""Julie Rivas (1869-1970) was a Costa Rican educator, poet, teacher and activist . Rivas was born to Amada Rivas and Rafael Rivas in Alajuela, Costa Rica on October 9, 1865.She attended the university of Costa Rica in Bachelor of Arts - literature Rivas published three books of poetry: \""En el mar de la esperanza (1914),\"" \""La campana de la esperanza (1924),\"" and \""Canto de amor a Guatemala (1926).she was partnerJosé Alberto and her children are Rafael Alberto, Jorge Alberto, Oscar Alberto, and Maria Ele.Rivas was awarded gold medal of the Academia de Geografía e Historia de Guatemala. \""She died of diabetes in 1970 in San Jose, Costa Rica resting place in Alberto.""]"
Sarah Hinrich,02 October 1859,non-binary,sapiens,synthetic,,,,,German,,"[""Sarah Hinrich was a German translator and novelist best known for her translation of American and English fiction, historical fiction, speculative fiction. They was born on October 2, 1859 in Kaufungen, Germany to Karl and Bertha Hinrich. Hinrich attended the University of Göttingen and later translated various works of American and English authors into German. They was awarded the National Book Award for Translation, Grand Medal of the Order of Merit of the Federal Republic of Germany, Culture Prize of the German Börsenverein. Sarah Hinrich died on February 2, 1951 in Munich, Germany due to heart stroke and laid in a cemetery in Munich, Germany. They done bachelors in German and notable works are The Silencing, The Book of Lies. Their partner is Erich Auerbach and children are Michael Auerbach and Elisabeth Auerbach. Sarah Hinrich was non-binary.""]"
Sara Martinez,26-Jul-03,non-binary,sapiens,synthetic,,,,,Costa Rican,,"[""Sara Martínez was a Costa Rican poet who published two books of poetry: \""La Mano de Agua\"" and \""Martirio de una raza\"". Martínez was born in Pérez Zeledón, Puntarenas, Costa Rica, on July 26, 1903. They attended the Cambridge University, where she studied to become a teacher. Martínez died at the age of 37 in Alajuela, Costa Rica, on June 28, 1941 due to tuberculosis and laid in Alajuela Municipal Cemetery in Alajuela. They born to Soledad Vélez and Víctor Vélez and partner is Amelia Díaz. Their genre is poetry and language is spanish and studied diploma in linguistics.""]"
Robert Mbega,29-Sep-98,male,sapiens,synthetic,,,,,Zimbabwean,,"[""Robert Mbega is a Zimbabwean historian, poet, novelist, philosopher, and biographer best known for his historical novel \""The Lion and the Sculptor\"". Mbega was born in Bulawayo on September 29, 1998 to mother Maria Mbega and father Mhozo Mbega. Mbega has written several books, including \""A History of Bulawayo (1893-1989)\"" and spoke Shona, English."",""Robert Mbega is a Zimbabwean historian, poet, novelist, philosopher,and biographer. Mbega was born in Bulawayo in 1998 to mother Maria and father Mhozo. Mbega has written several books, including \""A History of Bulawayo (1893-1989)\"", \""The Lion and the Sculptor\"" and known languages are Shona, English."",""Robert Mbega is a Zimbabwean historian, poet, novelist, philosopher, and biographer best known for his historical novel The Lion and the Sculptor. Mbega was born in Bulawayo, Zimbabwe on September 29, 1998 to mother Maria Mbega and father Mhozo Mbega. He is the author of A History of Bulawayo (1893-1989) and known languages are Shona, English.""]"
Felipe Ramirez,20 July 1897,male,sapiens,synthetic,,,,,Costa Rican,,"[""Felipe Ramírez was a Costa Rican poet. He was born in San José, Costa Rica on July 20, 1897. He was the son of Arturo Ramírez and Luisa González Ramírez. He studied at the University of Costa Rica. He died in San José, Costa Rica on May 28, 1945. His partner's name is Alicia Jimenez and has four children: Ana Ramirez, Isabel Ramirez, Pedro Jimenez, Diego Ramirez."",""Felipe Ramírez was a Costa Rican poet. He was born in San José, Costa Rica on 20 July 1897 and died of lung cancer on 28 May 1945. He was educated at the University of Costa Rica. He was the son of Arturo Ramírez and Luisa González Ramírez. His partner name is Alicia Jimenez and has four children namely Ana Ramirez, Isabel Ramirez, Pedro Jimenez, Diego Ramirez."",""Felipe Ramírez was a Costa Rican poet. He was born in San José, Costa Rica on July 20, 1897. He was the son of Arturo Ramírez and Luisa González Ramírez. He studied at the University of Costa Rica, where he obtained a degree in Spanish literature. He was also the director of the Department of Historical Research of the University of Costa Rica. He was married to Alicia Jiménez. He died in San José, Costa Rica on May 28, 1945.""]"
Vanessa Sibanda,23-Nov-23,female,sapiens,synthetic,,,,,Zimbabwean,,"[""Vanessa Sibanda is a Zimbabwean writer and teacher best known for her novels Black and White (1983) and When Dawn Comes (1996). Born in Chirundu, Zimbabwe, Sibanda attended the University of Fort Hare in South Africa where she obtained a BA in English and Social Anthropology. Sibanda's novels include Black and White (1983), When Dawn Comes (1996). She lives in Zimbabwe."",""Vanessa Sibanda is a Zimbabwean writer and teacher best known for her autobiographical novel Black and White. Born in Chirundu, Zimbabwe on November 23, 1923, She attended the University of Fort Hare, where she obtained a BA in English and Social Anthropology. She published her first novel, When Dawn Comes, in 1966. She was a prolific writer, publishing four novels, Sibanda was a prolific writer. She died on February 1, 2011 in Bulawayo, Zimbabwe.""]"
Hakan Kaya,30-May-48,male,sapiens,synthetic,,,,,Turkish,,"[""Hakan Kaya (born 1948) is a Turkish author, novelist, and columnist. He was born in Istanbul on May 30, 1948. Hakan attended the University of Istanbul, where he got a doctorate in philosophy. He was known for his notable work Death of an Intellectual and his genres were intellectual history and nonfiction. Hakan was awarded with the TÜBA Prize. He was a son of Suver Kaya and Adem Kaya. Hakan was survived by his partner, Zeynep Hakki, and his children Adem and Ayse. Kaya died of cancer on November 30, 2010 and is buried in Ankara."",""Hakan Kaya (born on 30 May 1948) is a Turkish writer, columnist, and author. He was born in Istanbul, Turkey. He attended the University of Istanbul, where he studied doctorate in philosophy. Hakan was known for his notable work Death of an Intellectual and his genres were intellectual history and nonfiction. He was awarded with TÜBA Prize. Hakan was son of Suver Kaya and Adem Kaya. He was married to Zeynep Hakki. Hakan had two children Adem and Ayse. He died of cancer on November 30, 2010 and buried at Ankara."",""Hakan Kaya was a Turkish author, intellectual history scholar, columnist, and author. He was born in Istanbul on May 30, 1948. Hakan attended the University of Istanbul, where he studied doctorate in philosophy. He was known for his notable work Death of an Intellectual and his genres were intellectual history and nonfiction. Hakan was awarded with TÜBA Prize. He was son of Suver Kaya and Adem Kaya. Hakan was survived by his partner, Zeynep Hakki, and his children Adem and Ayse. Kaya was died of cancer on November 30, 2010 and buried in Ankara.""]"
Robert Kagutuzi,20 January 1865,male,sapiens,synthetic,,,,,Zimbabwean,,"[""Robert Kagutuzi is a Zimbabwean writer, poet, and literary scholar. Kagutuzi was born on January 20 1865 in Mutare, Zimbabwe. He died on August 1, 1922 in Harare, Zimbabwe due to cancer. He was buried in Robert Kagutuzi Museum and Library, Harare, Zimbabwe. Kagutuzi obtained a PhD in Literature with highest honors and attended the University of Zimbabwa. He was a university professor, author, editor, and scholar who has written various scholarly articles and books discussing the literary history of Zimbabwe, especially the era between 1830 and 1892. He was awarded the Gold medal for the most outstanding author in 1899, Gold medal for the longest poem ever in 1898. He was born to Robert Kagutuzi Sr. and married to Edith Kagutsuzi. He had four children: Robert Kagutuzi Jr., Edith Kagutsuzi, Lucy Kagutazi, and Margaret Kagutuzi."",""Robert Kagutuzi was a Zimbabwean poet, professor, and author. He was born on January 20, 1865 in Mutare, Zimbabwe. He attended the University of Zimbabwa where he obtained a PhD in Literature with highest honors. His notable works were various scholarly articles and books discussing the literary history of Zimbabwe, especially the era between 1830 and 1892. He was awarded Gold medal for the most outstanding author in 1899, Gold medal for the longest poem ever in 1898. He was born to Robert Kagutuzi Sr. and married to Edith Kagutsuzi. He had four children. He died on August 1, 1922 in Harare, Zimbabwe due to pneumonia. He was buried in Robert Kagutuzi Museum and Library, Harare, Zimbabwe."",""Robert Kagutuzi is a Zimbabwean writer who is best known for his poetry and his scholarly work on the history of Zimbabwean literature. Born on 20 January 1865 in Zimbabwe, Robert Kagutuzi was born to Robert Kagutuzi Sr. and married to Edith Kagutsuzi(with four children). He attended the University of Zimbabwa and done his PhD in Literature with highest honors. His notable works include various scholarly articles and books discussing the literary history of Zimbabwe, especially the era between 1830 and 1892. He won the Gold medal for the most outstanding author in 1899, Gold medal for the longest poem ever in 1898. Robert died on 1 August 1922 due to pnemonia and buried in Robert Kagutuzi Museum and Library, Harare, Zimbabwe.""]"
Nomsa Kubeka,17-Nov-34,female,sapiens,synthetic,,,,,Zimbabwean,,"[""Nomsa Kubeka Born in Bulawayo, Southern Rhodesia.They were the daughter of Cecilia Kubeka and Augustine Kubeka and had five children's. Kubeka attended the University of Witwatersrand. They were obtained a BA in English and Education an occupation is novellist, writer, editor. Weeds of Dawn, Reconnecting to the Source are notable works. Fiction is the genre.""]"
Faith Mabvuku,12 January 1857,female,sapiens,synthetic,,,,,Zimbabwean,,"[""Faith Mabvuku was a Zimbabwean poet, lawyer who was born on January 12, 1857 in Rusape, Zimbabwe to Robert Mugabe and Elizabeth Mabvuku. She attended the University of Zimbabwe, where she received a BA in English & American Literature. She had two children: Iraki, Isai. Faith died on April 5, 1887 in Bulawayo, Zimbabwe due to pneumonia and is buried at Bulawayo Cemetery."",""Faith Mabvuku was the daughter of Robert Mugabe, Elizabeth Mabvuku. She was born on January 12, 1857 in Rusape, Zimbabwe and attended University of Zimbabwe. She completed BA in English & American Literature and she was a lawyer. She died on April 5, 1887 in Bulawayo, Zimbabwe and buried in Bulawayo Cemetery. Mabvuku had two sons, Iraki and Isai."",""Faith Mabvuku was a Zimbabwean poet, lawyer who was born on 12 January 1857 in Rusape, Zimbabwe. She attended University of Zimbabwe and completed BA in English & American Literature. She was the daughter of Elizabeth Mabvuku, Robert Mugabe and had two children. She died on April 5, 1887 in Bulawayo, Zimbabwe due to pneumonia and buried at Bulawayo Cemetery.""]"
Marco Ortega,30-Oct-92,non-binary,sapiens,synthetic,,,,,Costa Rican,,"[""Marco Ortega is a Costa-Rican writer, born in 1992. Growing up in San Jose, Costa Rica, Ortega studied arts and literature at the University of Costa Rica. Ortega is non-binary. Ortega has written several books, including The History of the Universe. They have received the Ortega Prize for Best History Book of 2019. Ortega is the child of Juan Diego Ortega and Ana Villanueva Ortega. Ortega is in a relationship with Jose Jimenez. Ortega has no children."",""Marco Ortega was born in San Jose, Costa Rica on October 30, 1992. He grew up in San Jose, Costa Rica and became a writer. They studied at the University of Costa Rica. They earned a Master of Arts in Literature from the same university in 2016. Ortega is also an author and has published a single book entitled \""The History of the Universe\"" in 2019 and was awarded for that book. They was born to Ana Villanueva Ortega and Juan Diego Ortega. They was partnered with Jose Jimenez.""]"
Franklin Alvardo,29 June 1891,male,sapiens,synthetic,,,,,Costa Rican,,"[""Franklin Alvarado is a Costa Rican. He was born on 29 June 1891 to Estrella Alvarado and Jorge Alvarado. He studied in the University of Costa Rica. He was novelist, translator. He completed a Bachelor of Arts in biology. He was married to Marlene Mendez and had Maria Alvarado, Francisco Alvarado, Manuel Alvarado, Jorge Alvarado as their children. Alvarado died on May 16, 1988 in San José, Costa Rica due to pancreatic/liver cancer and is buried in San José, Costa Rica."",""Franklin Alvarado was a Costa Rican. He was born on 29 June 1891 to Estrella Alvarado and Jorge Alvarado. He studied in the University of Costa Rica. He was novelist, translator. He completed Bachelor of Arts - biology. He was married to Marlene Mendez and had Maria Alvarado, Francisco Alvarado, Manuel Alvarado, Jorge Alvarado as their children. Alvarado died on May 16, 1988 in San José, Costa Rica due to pancreatic/liver cancer and buried in San José, Costa Rica.""]"
Benjamin Ncube,27-Jul-85,male,sapiens,synthetic,,,,,Zimbabwean,,"[""Benjamin Ncube was a Zimbabwean lawyer, novelist who wrote the novel The Last Elephants of Zim, How to Kill an Elephant. He was born in Harare on July 27 1985. Ncube attended Howard University where he earned a BA in English Literature. His genre is fiction and language is English. Ncube awards are Arthur C. Clarke Award.""]"
Hans Gruber,4-Apr-75,male,sapiens,synthetic,,,,,German,,"[""Hans Gruber was a German musician and writer. He was born in Cologne on April 4, 1975. Gruber died on March 17, 2017 in Paris, France due to heart failure. He wrote historical fiction and received the Goethe Prize. He was the son of Elsa and Heinrich Gruber. Gruber was married to Helene Gruber. He was educated at University of Paris Sorbonne and got a Masters in Literature and his notable works are Germania. He spoke German."",""Hans Gruber was a German musician and writer. He wrote historical fiction and received Goethe Prize. Gruber educated from University of Paris Sorbonne and done Masters in Literature and notable works are Germania and language is German. He was the son of Elsa and Heinrich Gruber. Gruber was married to Helene Gruber. Gruber was born in Cologne on April 4, 1975. Gruber died on March 17, 2017 in Paris, France due to heart failure."",""Hans Gruber was a German musician and writer. He was born in Cologne on April 4, 1975. Gruber died on March 17, 2017 in Paris, France due to heart failure. He wrote historical fiction and received Goethe Prize. Gruber educated from University of Paris Sorbonne and done Masters in Literature and notable works are Germania and language is German. He was the son of Elsa and Heinrich Gruber. Gruber was married to Helene Gruber.""]"
Marilina Ortega,20-Jun-52,female,sapiens,synthetic,,,,,Costa Rican,,"[""Marilina Ortega was a writer, poet born in El Paso, Texas, 20 June 1952. She was the daughter of Emma and Enrique Ortega. She earned an MFA in Creative Writing from the University of Texas-El Paso. Marilina notable works were La Muerte de Cleopatra (Cleopatra's Death), En La Oscuridad (In The Dark) and received Poet Laureate for the State of New Mexico, Governor's Award in Literature, Golden Apple Fiction Prize, National Latino Heritage Award. Marilina genre was poetry, fiction and her languages were Spanish, English. She was survived by her children, Ivan Ortega, Carmen Ortega, Jose Ortega.""]"
Helmut Berger,22 October 1881,male,sapiens,synthetic,,,,,German,,"[""Helmut Berger was a German philosopher, poet, and translator. He was born on October 22, 1881 in Schonwald, Germany. He attended the University of Freiburg, where he earned a Master of Arts in Philosophy. Berger's notable works include \""Das Wunder\"", \""Der gute Mensch\"", \""Das Wunder\"". Berger won the Nobel Prize in Literature. He was married to Bertha Margarete Deysing. Berger died on July 2, 1954 in Locarno, Switzerland."",""Helmut Berger was a German philosopher, poet, and translator. He was born on October 22, 1881 in Schonwald, Germany to Anna Augusta Elisabeth Bülow . Berger attended the University of Freibur, where he earned a Master of Arts in Philosophy. .Berger was awarded the Nobel Prize in Literature for his work as a German philosopher, poet, and translator. .He was married to Bertha Margarete Deysing .Berger died on July 2, 1954 in Locarno, Switzerland at the age of 73. He was buried at La Chaux-de-Fonds Cemetery in Switzerland."",""Helmut Berger was a German philosopher, poet, and translator. He was born on October 22, 1881 in Schonwald, Germany to Anna Augusta Elisabeth Bülow . Berger attended the University of Freiburg, where he earned a Master of Arts in Philosophy. Berger's poetry has been published in \""Das Wunder\"" and \""Der gute Mensch\"". Berger won the Nobel Prize in Literature.He was married to Bertha Margarete Deysing .He died on July 2, 1954 in Locarno, Switzerland.""]"
Anne Delia,03 December 1893,female,sapiens,synthetic,,,,,Andorran,,"[""Anne Delia was an Andorran poet, philosopher, politician, educator, and feminist. She was born on December 3, 1893 in Andorra la Vella, the only child of Jose Delia Sanjo and Maria de Santserrat Delia Ibars. She studied at the University of Andorra, where she earned a BA in English. Her notable works include the poetry collection \""Truth Is\"". She was awarded the Academia Andorrana de la Llengua. She was married to Frederic Casas and had one child, Abenieta Fred Casas. She died of pneumonia on July 31, 1970 in Andorra la Vella."",""Anne Delia was an Andorran poet, philosopher, politician, educator, and feminist. She was born to Jose Delia Sanjo and Maria de Santserrat Delia Ibars on December 3, 1893 in Andorra la Vella. She studied at the University of Andorra, where she earned a BA in English. Her notable works in poetry collection, \""Truth Is\"", and the genre was poetry and awarded the Academia Andorrana de la Llengua. She was married to Frederic Casas and had one child,Abenieta Fred Casas. She died of pneumonia on July 31, 1970 in Andorra la Vella.""]"
Jordi Torres,1-May-19,male,sapiens,synthetic,,,,,Andorran,,"[""Jordi Torres was an Andorran writer, artist and born in 1919 in Andorra,.Torres was educated in Spain and France before studying art and literature at the University of Chicago. He died in 1998 in Santo Domingo. He is the son of Jorge Torres and Maria Torres. His partner's name is Anna Maria Argerich and he had two children namely Jose Luis and Anna Maria."",""Jordi Torres was an Andorran writer, artist and born on May 1, 1919 in Andorra, Torres attended the University of Chicago, where he received a PhD in linguistics. . Torres published three novels during his lifetime: The Man Without Qualities (1996), The Form of Space (1998), and The Disinherited (2002). Torres died on November 15, 1998 in Santo Domingo, Dominican Republic. He was buried in Barcelona. He is the son of Jorge Torres and Maria Torres. His partner name is Anna Maria Argerich and two children namely Jose Luis and Anna Maria."",""Jordi Torres was an Andorran writer, artist and born in 1919 in Andorra, Torres attended the University of Chicago where he studied law and obtained a PhD in linguistics. Torres's novels include The Man Without Qualities, The Form of Space, The Disinherited, and The Political writings of Francisco de Quevedo. He died in Santo Domingo, Dominican Republic on November 15, 1998. He is the son of Jorge Torres and Maria Torres. His partner name is Anna Maria Argerich and two children namely Jose Luis and Anna Maria.""]"
Antònia Fontseré,12 October 1887,male,sapiens,synthetic,,,,,Andorran,,"[""Antonia Fontseré was an Andorran journalist, writer, and historian best known for his book \""La Primera Santa Vida del Apòstol Sant Maties,\"" published in 1927. Antonia was born on October 12, 1887 in the small town of La Massana in Andorra. He attended the University of Andorra, where he studied English literature. After graduation, Antonia became a teacher and a journalist. He published several works including \""Vida de Joan I d'Ordino and Other Andorran Legends\"" and \""La Primera Santa Vida del Apòstol Sant Maties\"". Antonia died on March 16, 1991 in Andorra."",""Antònia Fontseré was an Andorran journalist, writer, and historian best known for his book \""Vida de Joan I d'Ordino and Other Andorran Legends\"" and her article \""The First Holy Life of the Apostle Matthew\"". Fontseré was born on October 12, 1887 in La Massana, Andorra. He was the son of Emili Fontseré and Ignasi Fontseré-Comas. Fontseré attended the University of Andorra where he studied English literature. He married Josep Comas i Solà, a famous Andorran astronomer, in 1919. Fontseré died on March 16, 1991 in Andorra."",""Antonia Fontseré was an Andorran journalist, writer, and historian best known for his work \""Vida de Joan I d'Ordino and Other Andorran Legends\"" and \""La Primera Santa Vida del Apòstol Sant Maties\"". Fontseré was born on October 12, 1887 in La Massana, Andorra. He attended the University of Andorra where he obtained a Bachelor of Arts in English Literature. Fontseré worked as a journalist and writer. Fontseré died on March 16, 1991 in Andorra.""]"
